group	contrast	target_corpus	ref_corpus	rank	type	freq_tar	freq_ref	range_tar	range_ref	ll	lr	d1	d1sub	act	hedge	c	conf	note
1	L1 vs Generic	L1	Generic	13	tighten	44	9	41	8	24.264	2.251	PENDING	-	A3	NA	NA	-	维度一待定：tighten prose/sentences(G2)vs tighten argument(G1)
1	L1 vs Generic	L1	Generic	14	NEED	1069	830	≥281	≥241	24.237	0.327	NA	-	A3	NA	NA	H	need to = Hyland&Hyland 明示建议套语
1	L1 vs Generic	L1	Generic	15	material	166	86	118	68	23.774	0.910	G1	Development	NA	NA	NA	M	source material，属支撑材料
1	L1 vs Generic	L1	Generic	16	CLARIFY	272	166	≥197	≥129	23.193	0.674	PENDING	-	A3	NA	NA	-	维度一待定：手册 clear/clarity 系列一律 PENDING
1	L1 vs Generic	L1	Generic	17	defensible	53	14	43	14	23.177	1.882	G1	Ideas	A1	NA	NA	M	域固定于 claim/thesis；正向评价，但存在目标态框架风险
1	L1 vs Generic	L1	Generic	18	cut	90	36	77	27	22.504	1.284	G2	Local Structure	A3	NA	NA	M	删削冗余，句内/句间
1	L1 vs Generic	L1	Generic	19	phrasing	229	135	176	112	22.137	0.724	G2	Wording	NA	NA	NA	H	Wording 明示
1	L1 vs Generic	L1	Generic	20	RELY	125	61	≥63	≥32	20.820	0.997	G1	Development	NA	NA	NA	M	rely on evidence/sources
1	L1 vs Generic	L1	Generic	21	sweeping	56	18	49	18	19.484	1.599	G1	Ideas	A2	NA	NA	H	sweeping generalization，域固定于论断
1	L1 vs Generic	L1	Generic	22	vague	126	64	107	52	19.002	0.939	PENDING	-	A2	NA	NA	-	维度一待定：与 unclear 同族，可指论证或用词
1	L1 vs Generic	L1	Generic	23	credible	125	64	100	55	18.466	0.928	G1	Development	A1	NA	NA	M	credible sources/evidence
1	L1 vs Generic	L1	Generic	24	distract	58	20	55	18	18.333	1.498	PENDING	-	A2	NA	NA	-	维度一待定：typos distract(G2)vs digression distracts(G1)
1	L1 vs Generic	L1	Generic	25	authority	65	25	48	19	17.372	1.340	G1	Ideas	NA	NA	NA	L	写作者论述权威/立场，归修辞语境→G1
1	L1 vs Generic	L1	Generic	26	complexity	63	24	56	22	17.104	1.354	G1	Ideas	NA	NA	NA	M	acknowledge the complexity of the issue
1	L1 vs Generic	L1	Generic	27	might	187	115	150	85	15.483	0.663	NA	-	PENDING	PENDING	NA	-	手册指定共享项
1	L1 vs Generic	L1	Generic	28	prose	42	13	37	13	15.334	1.654	G2	Wording	NA	NA	NA	M	主导搭配 tighten/clarify your prose，句级文风
1	L1 vs Generic	L1	Generic	29	even	232	152	158	119	14.745	0.572	NA	-	NA	NA	NA	H	焦点副词，非 hedge
1	L1 vs Generic	L1	Generic	30	something	157	94	130	85	14.362	0.702	NA	-	NA	NA	NA	H	不定指代
1	L1 vs Generic	L1	Generic	31	credibility	243	162	190	128	14.242	0.547	G1	Development	NA	NA	NA	M	与 credible 同域
1	L1 vs Generic	L1	Generic	32	reads	180	112	164	98	14.237	0.646	PENDING	-	NA	NA	NA	-	维度一待定：the essay reads(整体)vs this sentence reads(句级)
1	L1 vs Generic	L1	Generic	33	just	263	179	182	121	13.922	0.517	NA	-	NA	PENDING	NA	-	"M1待定：最小化降调(M1)vs""仅仅是""强化批评(NA)；竞争读法全在 hedge 层，与 act 层无关"
1	L1 vs Generic	L1	Generic	34	PROOFREAD	317	224	≥181	≥145	13.708	0.463	G2	Correctness	A3	NA	NA	H	校对行动，Correctness+建议
1	L1 vs Generic	L1	Generic	35	currently	259	177	182	122	13.426	0.511	NA	-	NA	NA	NA	M	元话语对比框架（现状→建议），本身非行为
1	L1 vs Generic	L1	Generic	36	analysis	319	227	153	105	13.244	0.453	G1	Ideas	NA	NA	NA	H	Ideas 明示 analysis
1	L1 vs Generic	L1	Generic	37	precision	99	53	81	46	12.952	0.863	PENDING	-	NA	NA	NA	-	维度一待定：precision of language(G2)vs of claims(G1)
1	L1 vs Generic	L1	Generic	38	ASSERT	99	53	≥48	≥27	12.952	0.863	G1	Ideas	NA	NA	NA	H	assertions 属 Ideas
1	L1 vs Generic	L1	Generic	39	MATTER	235	159	≥123	≥87	12.814	0.525	G1	Ideas	NA	NA	NA	M	why this matters，论点意义
1	L1 vs Generic	L1	Generic	40	shifts	82	42	75	40	12.100	0.927	PENDING	-	NA	NA	NA	-	维度一待定：tense shifts(G2-Grammar)vs shifts in focus(G1)
1	L1 vs Generic	L1	Generic	41	case	269	190	137	103	11.659	0.463	G1	Ideas	NA	NA	NA	M	make the case for，论证整体
1	L1 vs Generic	L1	Generic	42	arguing	95	52	82	47	11.652	0.831	G1	Ideas	NA	NA	NA	H	Ideas 明示 arguments
1	L1 vs Generic	L1	Generic	43	GIVE	296	213	≥178	≥151	11.493	0.436	NA	-	NA	NA	NA	M	gives/given 混合，无固定层级所指
1	L1 vs Generic	L1	Generic	44	contains	53	24	48	23	10.442	1.105	NA	-	NA	NA	NA	H	描述性动词
1	L1 vs Generic	L1	Generic	45	address	264	190	177	135	10.241	0.436	PENDING	-	PENDING	NA	NA	-	"手册 v3 强制查询清单（G1/A3 争议），不得凭词形归类：address counterarguments(G1+A3) vs 元话语""address the points below""(NA)"
1	L1 vs Generic	L1	Generic	46	reorganize	109	65	108	64	10.115	0.708	G1	Global Structure	A3	NA	NA	H	大单位重排，Global Structure 明示
1	L1 vs Generic	L1	Generic	47	distinct	82	45	64	34	9.980	0.827	G1	Ideas	NA	NA	NA	M	distinct points/ideas
1	L1 vs Generic	L1	Generic	48	STRENGTHEN	476	373	≥291	≥246	9.959	0.314	G1	Ideas	A3	NA	NA	M	strengthen your argument/thesis；Ideas/Development 子类边界待核
1	L1 vs Generic	L1	Generic	49	assertion	58	28	53	25	9.909	1.012	G1	Ideas	NA	NA	NA	H	Ideas 明示
1	L1 vs Generic	L1	Generic	50	strongest	180	122	137	94	9.728	0.523	NA	-	PENDING	NA	NA	-	手册 v3 强制查询清单（strong 系 A1/A3 争议），不得凭词形归类：your strongest evidence(A1) vs 目标态框架(A3)
1	L1 vs Generic	L1	Generic	51	then	382	293	225	176	9.538	0.344	NA	-	NA	NA	NA	H	连接副词
1	L1 vs Generic	L1	Generic	52	measured	65	34	59	31	9.069	0.897	PENDING	-	A1	NA	NA	L	维度一待定：属 tone/register，手册列 PENDING；D2 判定信度低
1	L1 vs Generic	L1	Generic	53	arguable	76	42	68	37	9.057	0.817	G1	Ideas	A1	NA	NA	M	an arguable thesis，域固定于论断
1	L1 vs Generic	L1	Generic	54	should	1312	1132	333	328	8.964	0.175	NA	-	A3	NA	NA	H	Hyland&Hyland 明示建议套语
1	L1 vs Generic	L1	Generic	55	right	548	442	316	263	8.749	0.272	PENDING	-	NA	NA	NA	-	维度一待定：the right word(G2)vs right now(NA)
1	L1 vs Generic	L1	Generic	56	line	86	50	70	39	8.715	0.744	PENDING	-	NA	NA	NA	-	维度一待定：line of reasoning(G1)vs this line(G2)
1	L1 vs Generic	L1	Generic	57	now	594	484	320	273	8.532	0.257	NA	-	NA	NA	NA	H	时间/话语副词
1	L1 vs Generic	L1	Generic	58	structural	92	55	70	48	8.460	0.704	G1	Global Structure	NA	NA	NA	H	structural issues，大单位
1	L1 vs Generic	L1	Generic	59	engage	45	21	41	20	8.306	1.061	G1	Ideas	A3	NA	NA	M	engage with counterarguments/the reader
1	L1 vs Generic	L1	Generic	60	piece	123	80	95	70	8.076	0.582	NA	-	NA	NA	NA	H	文本指称语
1	L1 vs Generic	L1	Generic	61	imprecise	46	22	46	21	8.032	1.026	PENDING	-	A2	NA	NA	-	维度一待定：同 precision
1	L1 vs Generic	L1	Generic	62	detail	43	20	36	18	7.996	1.066	G1	Development	NA	NA	NA	H	Development 明示 detail
1	L1 vs Generic	L1	Generic	63	alone	60	32	51	28	7.933	0.869	NA	-	NA	NA	NA	H	限定副词
1	L1 vs Generic	L1	Generic	64	written	47	23	40	22	7.774	0.993	NA	-	NA	NA	NA	M	被动分词，无固定层级所指
1	L1 vs Generic	L1	Generic	65	section	164	114	98	67	7.768	0.486	G1	Global Structure	NA	NA	NA	M	大于段落的单位
1	L1 vs Generic	L1	Generic	66	analytical	153	105	112	78	7.758	0.505	G1	Ideas	NA	NA	NA	M	analytical depth/analytical claim；描述论述方式而非归功
1	L1 vs Generic	L1	Generic	67	building	48	24	44	22	7.532	0.962	G1	Ideas	NA	NA	NA	M	building on/building your argument
1	L1 vs Generic	L1	Generic	68	similarly	67	38	66	33	7.365	0.780	NA	-	NA	NA	NA	H	连接副词
1	L1 vs Generic	L1	Generic	69	typos	71	41	57	34	7.360	0.754	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
1	L1 vs Generic	L1	Generic	70	public	275	210	114	89	7.105	0.351	NA	-	NA	NA	NA	H	议题内容残留（LOCNESS 主题词）
1	L1 vs Generic	L1	Generic	71	underdeveloped	65	37	63	36	7.062	0.775	G1	Development	A2	NA	NA	H	Development 域固定，负向
1	L1 vs Generic	L1	Generic	72	actual	176	126	126	89	7.047	0.444	NA	-	NA	NA	NA	M	对比性强调词
1	L1 vs Generic	L1	Generic	73	carefully	324	253	237	201	6.984	0.319	NA	-	NA	NA	NA	M	方式副词，非 hedge 非行为
1	L1 vs Generic	L1	Generic	74	precisely	41	20	37	19	6.834	0.997	NA	-	NA	NA	NA	M	方式副词
1	L1 vs Generic	L1	Generic	75	define	94	60	62	39	6.696	0.609	PENDING	-	A3	NA	NA	-	维度一待定：define your terms 属 Wording(G2)还是概念澄清(G1)
1	L1 vs Generic	L1	Generic	76	evidence	1389	1223	321	295	6.644	0.145	G1	Development	NA	NA	NA	H	Development 核心
1	L1 vs Generic	L1	Generic	77	four	49	26	39	22	6.572	0.876	NA	-	NA	NA	NA	M	数量词，多为反馈条目枚举
1	L1 vs Generic	L1	Generic	78	specifically	96	62	81	52	6.502	0.592	NA	-	NA	NA	NA	M	元话语副词（区别于手册中 PENDING 的 specific）
1	L1 vs Generic	L1	Generic	79	concerns	78	48	65	42	6.440	0.662	NA	-	A2	NA	NA	M	my main concerns are…，批评标记语
1	L1 vs Generic	L1	Generic	80	placeholder	70	42	62	35	6.353	0.699	G2	Wording	A2	NA	NA	M	placeholder phrases/language，空泛措辞
1	L1 vs Generic	L1	Generic	81	loosely	40	20	38	19	6.277	0.962	PENDING	-	A2	NA	NA	-	维度一待定：loosely connected(G1 连贯)vs loosely worded(G2)
1	L1 vs Generic	L1	Generic	82	replace	166	120	128	98	6.264	0.430	PENDING	-	A3	NA	NA	-	维度一待定：replace this word(G2)vs replace this paragraph(G1)
1	L1 vs Generic	L1	Generic	83	takes	37	18	36	17	6.207	1.001	NA	-	NA	NA	NA	M	轻动词
1	L1 vs Generic	L1	Generic	84	core	63	37	60	32	6.167	0.730	G1	Ideas	NA	NA	NA	H	core claim/argument
1	L1 vs Generic	L1	Generic	85	acknowledge	106	71	93	64	6.071	0.540	G1	Ideas	A3	NA	NA	M	acknowledge counterarguments
1	L1 vs Generic	L1	Generic	86	distinguish	41	21	39	20	6.049	0.927	G1	Ideas	A3	NA	NA	M	distinguish between claims
1	L1 vs Generic	L1	Generic	87	improving	64	38	62	32	6.030	0.714	NA	-	A3	NA	NA	M	改进指向，层级由宾语决定
1	L1 vs Generic	L1	Generic	88	risk	64	38	48	31	6.030	0.714	NA	-	NA	M1	NA	M	M1：risks sounding X，删除后批评仍在且更强
1	L1 vs Generic	L1	Generic	89	making	147	105	113	94	5.966	0.447	NA	-	NA	NA	NA	H	轻动词
1	L1 vs Generic	L1	Generic	90	counterarguments	125	87	96	64	5.880	0.485	G1	Ideas	NA	NA	NA	H	Ideas 明示 counterargument
1	L1 vs Generic	L1	Generic	91	sharper	57	33	54	32	5.858	0.750	NA	-	PENDING	NA	NA	-	act 层待定：比较级多嵌于目标态框架（make it sharper=A3）而非评价（A1）
1	L1 vs Generic	L1	Generic	92	terms	79	50	62	42	5.830	0.622	PENDING	-	NA	NA	NA	-	维度一待定：key terms(G2-Wording)vs in terms of(NA)
1	L1 vs Generic	L1	Generic	93	tackles	66	40	66	39	5.773	0.684	NA	-	A1	NA	NA	M	your essay tackles a difficult question，开场归功套语
1	L1 vs Generic	L1	Generic	94	policy	139	99	68	59	5.738	0.451	NA	-	NA	NA	NA	H	议题内容残留
1	L1 vs Generic	L1	Generic	95	cultural	80	51	52	33	5.728	0.611	NA	-	NA	NA	PENDING	-	C1待定：议题内容残留 vs 文化/语言背景框架（理论上关键）
1	L1 vs Generic	L1	Generic	96	turn	51	29	49	27	5.560	0.776	NA	-	NA	NA	NA	H	in turn / turn to
1	L1 vs Generic	L1	Generic	97	framing	51	29	41	26	5.560	0.776	G1	Ideas	NA	NA	NA	M	论点呈现方式
1	L1 vs Generic	L1	Generic	98	weaken	103	70	100	66	5.490	0.519	NA	-	A2	NA	NA	M	weakens your argument，层级由宾语决定
1	L1 vs Generic	L1	Generic	99	wording	144	104	108	76	5.465	0.431	G2	Wording	NA	NA	NA	H	Wording 明示
1	L1 vs Generic	L1	Generic	100	abstract	48	27	42	24	5.416	0.792	PENDING	-	A2	NA	NA	-	维度一待定：too abstract=缺具体支撑(G1-Dev)vs abstract language(G2)
1	L1 vs Generic	L1	Generic	101	readers	327	263	183	161	5.368	0.276	G1	Ideas	NA	NA	NA	M	受众；按窄口径 C1 规定归 G1
1	L1 vs Generic	L1	Generic	102	mechanics	175	131	148	103	5.238	0.380	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
1	L1 vs Generic	L1	Generic	103	significant	149	109	111	83	5.213	0.413	NA	-	NA	NA	NA	M	程度形容词，极性依宾语
1	L1 vs Generic	L1	Generic	104	skeptical	38	20	37	20	5.213	0.888	G1	Ideas	NA	NA	NA	M	a skeptical reader will ask…，预设反驳
1	L1 vs Generic	L1	Generic	105	entirely	46	26	45	24	5.112	0.785	NA	-	NA	NA	NA	M	"强化词；""not entirely""否定缓和待观察"
1	L1 vs Generic	L1	Generic	106	anecdote	82	54	52	35	5.088	0.564	G1	Development	NA	NA	NA	H	证据类型
1	L1 vs Generic	L1	Generic	107	inconsistent	68	43	58	36	5.036	0.623	PENDING	-	A2	NA	NA	-	维度一待定：inconsistent tense(G2)vs inconsistent argument(G1)
1	L1 vs Generic	L1	Generic	108	fairly	59	36	50	32	5.031	0.674	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
1	L1 vs Generic	L1	Generic	109	integrate	39	21	39	20	5.018	0.855	G1	Development	A3	NA	NA	M	integrate evidence/quotations
1	L1 vs Generic	L1	Generic	110	come	73	47	60	38	5.011	0.597	NA	-	NA	NA	NA	M	comes across/comes from
1	L1 vs Generic	L1	Generic	111	actually	154	114	115	88	4.981	0.396	NA	-	NA	NA	NA	M	强化/对比副词
1	L1 vs Generic	L1	Generic	112	want	144	106	107	73	4.836	0.404	NA	-	A3	NA	NA	M	you'll want to = 建议套语（常与 may 叠加）
1	L1 vs Generic	L1	Generic	113	serve	40	22	37	22	4.836	0.824	NA	-	NA	NA	NA	M	描述性动词
1	L1 vs Generic	L1	Generic	114	broader	103	72	87	65	4.730	0.478	G1	Ideas	NA	NA	NA	M	broader context/implications
1	L1 vs Generic	L1	Generic	115	move	142	105	117	87	4.627	0.397	PENDING	-	PENDING	NA	NA	-	维度一待定：move this paragraph(G1)vs move on to(NA)；act 层随之待定
1	L1 vs Generic	L1	Generic	116	genuine	99	69	82	62	4.621	0.483	NA	-	A1	NA	NA	M	a genuine strength/insight
1	L1 vs Generic	L1	Generic	117	casual	63	40	43	29	4.588	0.617	PENDING	-	A2	NA	NA	-	维度一待定：属 tone/register，手册列 PENDING
1	L1 vs Generic	L1	Generic	118	single	95	66	71	51	4.512	0.487	NA	-	NA	NA	NA	H	数量词
1	L1 vs Generic	L1	Generic	119	sense	114	82	97	73	4.435	0.437	NA	-	NA	NA	NA	M	makes sense / a sense of
1	L1 vs Generic	L1	Generic	120	overly	39	22	36	22	4.361	0.788	NA	-	A2	NA	NA	M	标记过度=内在负向
1	L1 vs Generic	L1	Generic	121	polished	61	39	59	39	4.314	0.607	PENDING	-	A1	NA	NA	-	维度一待定：手册明列 polished 为 PENDING
1	L1 vs Generic	L1	Generic	122	biggest	72	48	70	48	4.218	0.547	NA	-	NA	NA	NA	M	级差强化词
1	L1 vs Generic	L1	Generic	123	power	132	98	55	49	4.185	0.391	NA	-	NA	NA	NA	M	疑似议题内容残留（政治权力）；the power of your argument 待核
1	L1 vs Generic	L1	Generic	124	draft	164	126	127	101	4.039	0.342	NA	-	NA	NA	NA	H	文本指称/写作过程；窄口径下不设类
1	L1 vs Generic	L1	Generic	125	heavily	46	28	45	28	3.959	0.678	NA	-	NA	NA	NA	M	强化词（rely heavily），非 hedge
1	L1 vs Generic	L1	Generic	126	financial	93	66	43	40	3.920	0.456	NA	-	NA	NA	NA	H	议题内容残留
1	L1 vs Generic	L1	Generic	127	opening	176	137	133	104	3.895	0.323	G1	Global Structure	NA	NA	NA	H	引言段，大单位
1	L1 vs Generic	L1	Generic	128	develop	169	131	144	110	3.873	0.329	G1	Development	A3	NA	NA	H	Development 明示
2	Generic vs L1	Generic	L1	1	GOOD	949	498	≥260	≥189	155.568	0.969	NA	-	PENDING	NA	NA	-	act 层待定：good+better 归并，comparative 多嵌于目标态框架（make it better=A3）vs 评价（A1）；LL 全组最高，须查
2	Generic vs L1	Generic	L1	2	language	642	285	290	177	150.991	1.210	PENDING	-	NA	NA	PENDING	-	维度三待定：your language background/first language(C1) vs academic language(G2 Wording)；本组理论枢纽词
2	Generic vs L1	Generic	L1	3	writing	439	208	257	154	90.672	1.116	NA	-	NA	NA	NA	M	文本指称/写作过程，不指示层级
2	Generic vs L1	Generic	L1	4	corrections	90	10	85	10	75.765	3.208	G2	Correctness	NA	NA	NA	M	命名 Correctness 焦点的元话语标签；中性焦点名词，act 层不赋值
2	Generic vs L1	Generic	L1	5	academic	841	543	262	243	73.006	0.669	PENDING	-	NA	NA	NA	-	维度一待定：属 register，手册列 tone/formal/register 为 PENDING
2	Generic vs L1	Generic	L1	6	STRENGTH	257	112	≥158	≥56	62.497	1.237	NA	-	PENDING	NA	NA	-	"act 层待定：反馈自身小标题""Strengths:""（元话语 NA）vs 归功（A1）；且属 strong 词族，按 v3 强制查询规则不得凭词形定"
2	Generic vs L1	Generic	L1	7	grammar	658	416	298	238	61.732	0.700	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示；中性焦点名词
2	Generic vs L1	Generic	L1	8	main	716	486	255	237	50.709	0.597	G1	Ideas	NA	NA	NA	M	main point/argument/idea；子类 Ideas 与 Global Structure 边界待核
2	Generic vs L1	Generic	L1	9	english	74	16	58	3	42.086	2.248	NA	-	NA	NA	PENDING	-	手册明列：指语言系统（correct English）→C1；作文体修饰（English essay）→NA。两读法维度一均为 NA
2	Generic vs L1	Generic	L1	10	USE	1068	816	≥295	≥282	40.969	0.427	PENDING	-	PENDING	NA	NA	-	维度一待定：your use of evidence(G1)/word use(G2)/use of tenses(G2)；act 层待定：use more examples(A3)vs 描述(NA)
2	Generic vs L1	Generic	L1	11	ARTICLE	167	74	≥77	≥33	39.363	1.213	PENDING	-	NA	NA	NA	-	维度一待定：英语冠词(G2-Grammar)vs 引用的文章(G1-Development)；L2 语法标记的关键判别点
2	Generic vs L1	Generic	L1	12	original	135	54	92	44	38.059	1.360	NA	-	NA	NA	NA	M	"与 revised 配对的""原句/改后句""对照格式，元话语"
2	Generic vs L1	Generic	L1	13	WORD	537	367	≥273	≥210	36.891	0.587	G2	Wording	NA	NA	NA	H	Wording 明示
2	Generic vs L1	Generic	L1	14	IDEA	830	619	≥231	≥191	36.787	0.461	G1	Ideas	NA	NA	NA	H	Ideas 明示
2	Generic vs L1	Generic	L1	15	tense	99	33	46	23	36.317	1.623	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
2	Generic vs L1	Generic	L1	16	suggestions	160	74	144	69	34.698	1.151	NA	-	PENDING	NA	NA	-	"act 层待定：反馈小标题""Suggestions:""（元话语 NA）vs 名词化建议行为（A3）"
2	Generic vs L1	Generic	L1	17	verb	221	118	158	98	34.609	0.944	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
2	Generic vs L1	Generic	L1	18	vocabulary	42	6	38	6	31.338	2.846	G2	Wording	NA	NA	NA	H	Wording 明示
2	Generic vs L1	Generic	L1	19	try	431	293	228	194	30.295	0.595	NA	-	A3	NA	NA	H	Hyland&Hyland 明示建议套语（the verb try）
2	Generic vs L1	Generic	L1	20	thank	50	10	50	9	30.185	2.360	NA	-	NA	NA	NA	M	人际礼貌行为（thank you for sharing），未归功于文本属性，不构成 A1；属手册排除的 paired acts 类
2	Generic vs L1	Generic	L1	21	some	939	747	300	283	27.389	0.368	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
2	Generic vs L1	Generic	L1	22	important	323	213	198	153	25.774	0.639	NA	-	PENDING	NA	NA	-	act 层待定：an important point(A1)vs it is important to…(A3 框架)
2	Generic vs L1	Generic	L1	23	OPINION	215	130	≥121	≥78	23.490	0.764	G1	Ideas	NA	NA	NA	M	your opinion / opinion vs fact，属论断层
2	Generic vs L1	Generic	L1	24	revised	107	50	81	45	22.721	1.136	NA	-	NA	NA	NA	M	与 original 配对的改写对照，元话语
2	Generic vs L1	Generic	L1	25	understandable	62	21	60	21	22.275	1.600	PENDING	-	A1	NA	NA	L	"维度一待定（clear 系）；act 低信度：作为""低门槛褒扬""（your English is understandable）与 A1 定义是否相符须查"
2	Generic vs L1	Generic	L1	26	too	529	398	218	198	22.252	0.449	NA	-	A2	NA	NA	M	标记过度=内在负向（同组 1 overly 口径）；polysemy 高于 overly，信度中等
2	Generic vs L1	Generic	L1	27	advice	128	66	115	62	21.853	0.994	NA	-	PENDING	NA	NA	-	act 层待定：反馈小标题（NA）vs my advice is to…（A3）
2	Generic vs L1	Generic	L1	28	expressions	49	14	45	14	21.536	1.846	G2	Wording	NA	NA	NA	H	Wording 明示
2	Generic vs L1	Generic	L1	29	CLEAR	1289	1095	≥328	≥311	21.466	0.274	PENDING	-	PENDING	NA	NA	-	维度一待定（手册 clear 系）；act 层待定：clear(A1)vs clearer 目标态框架(A3)
2	Generic vs L1	Generic	L1	30	clearly	502	377	269	245	21.342	0.451	PENDING	-	NA	NA	NA	-	维度一待定（clear 系）；方式副词，act 层不赋值
2	Generic vs L1	Generic	L1	31	comment	57	19	57	18	20.908	1.623	NA	-	NA	NA	NA	M	元话语（a comment on… / 小标题）
2	Generic vs L1	Generic	L1	32	IMPROVE	351	252	≥181	≥170	19.082	0.516	NA	-	A3	NA	NA	M	改进指向，层级由宾语决定
2	Generic vs L1	Generic	L1	33	sharing	37	9	37	9	19.045	2.078	NA	-	NA	NA	NA	M	人际礼貌（thank you for sharing）
2	Generic vs L1	Generic	L1	34	sentences	596	469	286	249	18.775	0.384	G2	Local Structure	NA	NA	NA	H	Local Structure 明示
2	Generic vs L1	Generic	L1	35	formal	364	265	181	158	18.406	0.496	PENDING	-	NA	NA	NA	-	维度一待定（register）；命名目标态而非评价，act 层不赋值
2	Generic vs L1	Generic	L1	36	choice	395	292	260	198	18.378	0.474	G2	Wording	NA	NA	NA	M	word choice；your choice of topic 读法待观察
2	Generic vs L1	Generic	L1	37	many	557	438	239	229	17.631	0.385	NA	-	NA	NA	NA	M	量词
2	Generic vs L1	Generic	L1	38	eg	339	246	154	134	17.437	0.501	NA	-	NA	NA	NA	M	举例元话语（e.g.），与组 1 的 for instance 构成对照
2	Generic vs L1	Generic	L1	39	people	608	485	216	195	17.362	0.364	NA	-	NA	NA	NA	M	疑似议题内容残留（LOCNESS 主题）；people reading your essay 读法待核
2	Generic vs L1	Generic	L1	40	avoid	308	220	202	150	17.180	0.524	NA	-	A3	NA	NA	H	手册 A3 明示
2	Generic vs L1	Generic	L1	41	strong	711	581	312	301	16.819	0.330	NA	-	PENDING	NA	NA	-	手册 v3 强制查询清单（A1/A3 争议），不得凭词形归类
2	Generic vs L1	Generic	L1	42	may	404	308	194	161	15.676	0.430	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
2	Generic vs L1	Generic	L1	43	final	414	317	274	237	15.633	0.423	PENDING	-	NA	NA	NA	-	"维度一待定：your final paragraph(G1-Structure)vs""Final thoughts:""小标题(NA)"
2	Generic vs L1	Generic	L1	44	topic	602	487	298	270	15.441	0.344	PENDING	-	NA	NA	NA	-	维度一待定：the topic of your essay(G1-Ideas)vs topic sentence(G2/G1 边界)
2	Generic vs L1	Generic	L1	45	example	1106	961	313	299	14.446	0.241	G1	Development	NA	NA	NA	H	Development 明示
2	Generic vs L1	Generic	L1	46	very	173	113	132	97	14.331	0.653	NA	-	NA	NA	NA	M	强化词，非 hedge
2	Generic vs L1	Generic	L1	47	past	73	36	46	30	13.816	1.058	G2	Grammar	NA	NA	NA	M	past tense
2	Generic vs L1	Generic	L1	48	here	250	180	181	139	13.390	0.512	NA	-	NA	NA	NA	M	指示元话语
2	Generic vs L1	Generic	L1	49	informal	190	131	138	109	12.535	0.575	PENDING	-	A2	NA	NA	-	维度一待定（register）；学术语境下标记偏离=负向（同组 1 casual 口径）
2	Generic vs L1	Generic	L1	50	recurring	77	41	76	41	12.139	0.948	NA	-	NA	NA	NA	M	"recurring errors/patterns，层级由宾语决定；构成""错误模式化""框架"
2	Generic vs L1	Generic	L1	51	easy	70	36	65	35	12.024	0.998	NA	-	A1	NA	NA	M	easy to follow/read，正向评价；目标态框架风险
2	Generic vs L1	Generic	L1	52	society	248	183	109	98	11.650	0.477	NA	-	NA	NA	NA	H	议题内容残留
