type	d1	d1sub	act	hedge	c	conf	src	note
probably	NA	-	NA	M1	NA	H	-	认识型 hedge，与手册 possibly/maybe 同类〔沿用组 2〕
OPINION	G1	Ideas	NA	NA	NA	M	-	your opinion / opinion vs fact，属论断层〔沿用组 2〕
strong	NA	-	A1	NA	NA	-	act	手册 v3 强制查询清单（A1/A3 争议），不得凭词形归类〔沿用组 2〕 〔concordance回填：act 层=A1；主导判定=A1(91%)〕
understandable	G1	Ideas	A1	NA	NA	L	d1	维度一待定（clear 系）；act 低信度：作为"低门槛褒扬"（your English is understandable）与 A1 定义是否相符须查〔沿用组 2〕 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
vocabulary	G2	Wording	NA	NA	NA	H	-	Wording 明示〔沿用组 2〕
advice	NA	-	A3	NA	NA	-	act	act 层待定：反馈小标题（NA）vs my advice is to…（A3）〔沿用组 2〕 〔concordance回填：act 层=A3；主导判定=A3〕
example	G1	Development	NA	NA	NA	H	-	Development 明示〔沿用组 2〕
subject	G2	Grammar	NA	NA	NA	-	d1	维度一待定：subject-verb agreement(G2-Grammar)vs the subject of your essay(G1)〔沿用组 2〕 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar〕
avoid	NA	-	A3	NA	NA	H	-	手册 A3 明示〔沿用组 2〕
try	NA	-	A3	NA	NA	H	-	Hyland&Hyland 明示建议套语（the verb try）〔沿用组 2〕
write	NA	-	A3	NA	NA	-	act	act 层待定：when you write（描述 NA）vs write this as…（A3）〔沿用组 2〕 〔concordance回填：act 层=A3；主导判定=A3〕
plural	G2	Grammar	NA	NA	NA	H	-	单复数，Correctness/Grammar 明示〔沿用组 7〕
below	NA	-	NA	NA	NA	M	-	指示元话语（see below）〔沿用组 2〕
thank	NA	-	NA	NA	NA	M	-	人际礼貌行为（thank you for sharing），未归功于文本属性，不构成 A1；属手册排除的 paired acts 类〔沿用组 2〕
luck	NA	-	NA	NA	NA	M	-	人际礼貌（good luck）〔沿用组 2〕
i	NA	-	NA	NA	NA	M	-	反馈者自称（I suggest/I noticed）＝人称归因，属手册排除的缓和策略，不入 M1〔沿用组 2〕
agreement	G2	Grammar	NA	NA	NA	H	-	subject-verb agreement〔沿用组 2〕
CLEAR	G1	Ideas	NA	NA	NA	-	d1+act	维度一待定（手册 clear 系）；act 层待定：clear(A1)vs clearer 目标态框架(A3)〔沿用组 2〕 〔concordance回填：维度一=G1-Ideas；主导判定=维度一=G1-Ideas；维度二=NA〕 〔concordance回填：act 层=NA；主导判定=维度一=G1-Ideas；维度二=NA〕
natural	NA	-	NA	NA	NA	-	d1+act+c	三层皆待定：sounds natural 是否以母语者语感为隐含标准（C1）；若判 C1 则维度一二依规则归 NA〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=维度一=NA；act=NA；维度三=NA〕 〔concordance回填：act 层=NA；主导判定=维度一=NA；act=NA；维度三=NA〕 〔concordance回填：维度三=NA；主导判定=维度一=NA；act=NA；维度三=NA〕
people	NA	-	NA	NA	NA	M	d1	疑似议题内容残留（LOCNESS 主题）；people reading your essay 读法待核〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=NA〕
long	G2	Local Structure	NA	NA	NA	M	-	long sentences，句级冗长；评价由 too 承担〔沿用组 2〕
only	NA	-	NA	NA	NA	-	hedge	hedge 层待定：最小化降调（only a few errors=M1）vs 限定（NA）；同组 1 just〔沿用组 2〕 〔concordance回填：hedge 层=NA；主导判定=NA〕
consistent	G1	Ideas	NA	NA	NA	-	d1	维度一待定：consistent tense(G2)vs consistent argument(G1)；同组 2 consistency 口径 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
past	G2	Grammar	NA	NA	NA	M	-	past tense〔沿用组 2〕
meaning	G2	Wording	NA	NA	NA	-	d1	维度一待定：the meaning is unclear（G1 表意）vs 词义(G2-Wording) 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
think	NA	-	NA	NA	NA	M	-	I think…＝人称归因，属手册排除的缓和策略，不入 M1
her	NA	-	NA	NA	NA	M	d1	疑似议题内容残留，待核〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=NA〕
many	NA	-	NA	NA	NA	M	-	量词〔沿用组 2〕
improved	NA	-	A3	NA	NA	M	-	改进指向，层级由宾语决定；同组 2 IMPROVE 口径
sharing	NA	-	NA	NA	NA	M	-	人际礼貌（thank you for sharing）〔沿用组 2〕
sounds	NA	-	NA	NA	NA	M	-	听感评价框架动词（sounds awkward/natural）；与 natural/unnatural 共现，其 C1 权重由后者承担〔沿用组 7〕
eg	NA	-	NA	NA	NA	M	-	举例元话语（e.g.），与组 1 的 for instance 构成对照〔沿用组 2〕
paragraph	G1	Development	NA	NA	NA	-	d1	维度一待定：手册明示段落内部组织→G2、段落间安排→G1 〔concordance回填：维度一=G1-Development；主导判定=G1-Development〕
informal	G2	Wording	A2	NA	NA	-	d1	维度一待定（register）；学术语境下标记偏离=负向（同组 1 casual 口径）〔沿用组 2〕 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
contain	NA	-	NA	NA	NA	M	-	描述性动词〔沿用组 2〕
ONE	NA	-	NA	NA	NA	M	-	数量词/指代词
please	NA	-	NA	NA	NA	M	-	礼貌标记；手册 M1 限于 hedges，礼貌标记不入 M1〔沿用组 2〕
introduction	G1	Global Structure	NA	NA	NA	H	-	大单位，Global Structure 明示〔沿用组 2〕
correct	G2	Correctness	A3	NA	NA	-	act	act 层待定：correct these errors(A3)vs the correct form(NA)〔沿用组 2〕 〔concordance回填：act 层=A3；主导判定=A3〕
important	NA	-	NA	NA	NA	-	act	act 层待定：an important point(A1)vs it is important to…(A3 框架)〔沿用组 2〕 〔concordance回填：act 层=NA；主导判定=NA〕
needed	NA	-	A3	NA	NA	M	-	more detail is needed，need 系建议套语的被动形式
easy	NA	-	A1	NA	NA	M	-	easy to follow/read，正向评价；目标态框架风险〔沿用组 2〕
worth	NA	-	NA	NA	NA	-	act	act 层待定：it's worth adding X＝隐性建议（A3）vs 价值评价（A1）；与组 9 deserves 同构 〔concordance回填：act 层=NA；主导判定=NA〕
areas	NA	-	NA	NA	NA	M	-	元话语（areas for improvement，反馈小标题）〔沿用组 2〕
way	NA	-	NA	NA	NA	M	-	a way to／the way you，无固定层级所指
she	NA	-	NA	NA	NA	M	d1	疑似议题内容残留（引述作文内容），待核〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=NA〕
proper	G2	Correctness	NA	NA	NA	M	-	proper grammar/punctuation；规范性框架词〔沿用组 2〕
common	NA	-	NA	NA	NA	M	-	常见性标记（a common error）＝正常化框架；属手册排除的缓和策略，不入 M1〔沿用组 2〕
relevant	G1	Development	NA	NA	NA	M	-	relevant evidence/examples〔沿用组 2〕
usually	NA	-	NA	M1	NA	H	-	手册 v3 M1 明示 hedge〔沿用组 3〕
especially	NA	-	NA	NA	NA	M	-	焦点副词〔沿用组 2〕
above	NA	-	NA	NA	NA	M	-	指示元话语（see above）〔沿用组 6〕
spelling	G2	Mechanics	NA	NA	NA	H	-	Mechanics 明示〔沿用组 2〕
topic	G1	Ideas	NA	NA	NA	-	d1	维度一待定：the topic of your essay(G1-Ideas)vs topic sentence(G2/G1 边界)〔沿用组 2〕 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
work	NA	-	NA	NA	NA	M	-	文本指称语（your work）
commas	G2	Mechanics	NA	NA	NA	H	-	Mechanics 明示〔沿用组 6〕
very	NA	-	NA	NA	NA	M	-	强化词，非 hedge〔沿用组 2〕
emotional	NA	-	NA	NA	NA	-	d1	维度一待定：emotional language(G2-Wording/register)vs emotional appeal(G1-Ideas)；亦可能为议题残留〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=NA〕
must	NA	-	A3	NA	NA	H	-	手册 A3 明示〔沿用组 2〕
unclear	G2	Wording	A2	NA	NA	-	d1	维度一待定（手册 clear 系）；负向评价〔沿用组 2〕 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording(29%)〕
final	NA	-	NA	NA	NA	-	d1	维度一待定：your final paragraph(G1-Structure)vs"Final thoughts:"小标题(NA)〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=NA〕
shows	NA	-	NA	NA	NA	M	-	描述性框架动词〔沿用组 2〕
consistency	G2	Grammar	NA	NA	NA	-	d1	维度一待定：consistency of tense(G2)vs of argument(G1)〔沿用组 2〕 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar〕
clearly	G1	Ideas	NA	NA	NA	-	d1	维度一待定（clear 系）；方式副词，act 层不赋值〔沿用组 2〕 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
statement	G1	Ideas	NA	NA	NA	M	-	thesis statement〔沿用组 2〕
their	NA	-	NA	NA	NA	M	-	人称代词
another	NA	-	NA	NA	NA	M	-	限定词
accuracy	G2	Correctness	NA	NA	NA	H	-	Correctness 明示〔沿用组 2〕
suggested	NA	-	A3	NA	NA	-	act	act 层待定：the suggested revision（NA）vs I suggested（A3）〔沿用组 2〕 〔concordance回填：act 层=A3；主导判定=A3〕
recommend	NA	-	A3	NA	NA	H	-	手册 A3 明示〔沿用组 5〕
content	G1	Ideas	NA	NA	NA	M	-	内容层，与 organization 对举〔沿用组 2〕
possible	NA	-	NA	M1	NA	-	hedge	hedge 层待定：it is possible that（M1）vs possible improvements（NA）〔沿用组 2〕 〔concordance回填：hedge 层=M1；主导判定=M1〕
he	NA	-	NA	NA	NA	M	d1	疑似议题内容残留，待核〔沿用组 2〕 〔concordance回填：维度一=NA；主导判定=NA〕
confusing	G2	Local Structure	A2	NA	NA	-	d1	维度一待定（clear 系）；手册 A2 词族例明列 confusing〔沿用组 5〕 〔concordance回填：维度一=G2-Local Structure；主导判定=G2-Local Structure〕
briefly	NA	-	NA	M1	NA	-	hedge	hedge 层待定：briefly explain 削减要求强度（M1）vs 单纯方式副词（NA）〔沿用组 2〕 〔concordance回填：hedge 层=M1；主导判定=M1(71%)〕
we	NA	-	NA	NA	NA	M	-	包容性人称，团结策略；不入 M1〔沿用组 2〕
missing	NA	-	A2	NA	NA	H	-	手册 A2 词族例明列 missing
society	NA	-	NA	NA	NA	H	-	议题内容残留〔沿用组 2〕
direct	G1	Ideas	NA	NA	NA	-	d1+c	维度三待定（先验较低）：German writing is direct（文化—语用框架，C1）vs be more direct(G2)/direct quotation(NA)〔沿用组 6〕 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas; NA〕 〔concordance回填：维度三=NA；主导判定=G1-Ideas; NA〕
third	NA	-	NA	NA	NA	M	-	序数词，反馈条目枚举
shorter	G2	Local Structure	NA	NA	NA	M	-	shorter sentences；比较级，评价由框架承担〔沿用组 2〕
story	G1	Development	NA	NA	NA	M	d1	疑似议题内容残留，待核〔沿用组 8〕 〔concordance回填：维度一=G1-Development；主导判定=G1-Development〕
end	G1	Global Structure	NA	NA	NA	M	-	the end of your essay/paragraph〔沿用组 2〕
revised	NA	-	NA	NA	NA	M	-	与 original 配对的改写对照，元话语〔沿用组 2〕
women	NA	-	NA	NA	NA	H	-	议题内容残留〔沿用组 2〕
periods	G2	Mechanics	NA	NA	NA	H	-	句号，Mechanics 明示
adding	NA	-	A3	NA	NA	H	-	手册 A3 明示（add）〔沿用组 2〕
remove	G2	Wording	A3	NA	NA	-	d1	维度一待定：remove this word(G2)vs remove this paragraph(G1)；建议动词 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
usage	G2	Correctness	NA	NA	NA	M	-	article usage / comma usage，语言使用规范层〔沿用组 6〕
students	NA	-	NA	NA	NA	H	-	议题内容残留〔沿用组 2〕
citation	G1	Development	NA	NA	NA	-	d1	维度一待定：引用来源的使用(G1-Development)vs 引用格式(G2-Mechanics) 〔concordance回填：维度一=G1-Development；主导判定=G1-Development〕
