type	d1	d1sub	act	hedge	c	conf	src	note
CLEAR	G1	Ideas	NA	NA	NA	-	d1+act	维度一待定（手册 clear 系）；act 层待定：clear(A1)vs clearer 目标态框架(A3) 〔concordance回填：维度一=G1-Ideas；主导判定=维度一=G1-Ideas；维度二=NA〕 〔concordance回填：act 层=NA；主导判定=维度一=G1-Ideas；维度二=NA〕
clearly	G1	Ideas	NA	NA	NA	-	d1	维度一待定（clear 系）；方式副词，act 层不赋值 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
comment	NA	-	NA	NA	NA	M	-	元话语（a comment on… / 小标题）
IMPROVE	NA	-	A3	NA	NA	M	-	改进指向，层级由宾语决定
sharing	NA	-	NA	NA	NA	M	-	人际礼貌（thank you for sharing）
sentences	G2	Local Structure	NA	NA	NA	H	-	Local Structure 明示
formal	G2	Wording	NA	NA	NA	-	d1	维度一待定（register）；命名目标态而非评价，act 层不赋值 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
choice	G2	Wording	NA	NA	NA	M	-	word choice；your choice of topic 读法待观察
many	NA	-	NA	NA	NA	M	-	量词
eg	NA	-	NA	NA	NA	M	-	举例元话语（e.g.），与组 1 的 for instance 构成对照
people	NA	-	NA	NA	NA	M	d1	疑似议题内容残留（LOCNESS 主题）；people reading your essay 读法待核 〔concordance回填：维度一=NA；主导判定=NA〕
avoid	NA	-	A3	NA	NA	H	-	手册 A3 明示
strong	NA	-	A1	NA	NA	-	act	手册 v3 强制查询清单（A1/A3 争议），不得凭词形归类 〔concordance回填：act 层=A1；主导判定=A1(91%)〕
may	NA	-	NA	M1	NA	H	-	手册 v3 M1 明示 hedge
final	NA	-	NA	NA	NA	-	d1	维度一待定：your final paragraph(G1-Structure)vs"Final thoughts:"小标题(NA) 〔concordance回填：维度一=NA；主导判定=NA〕
topic	G1	Ideas	NA	NA	NA	-	d1	维度一待定：the topic of your essay(G1-Ideas)vs topic sentence(G2/G1 边界) 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
example	G1	Development	NA	NA	NA	H	-	Development 明示
very	NA	-	NA	NA	NA	M	-	强化词，非 hedge
past	G2	Grammar	NA	NA	NA	M	-	past tense
here	NA	-	NA	NA	NA	M	-	指示元话语
informal	G2	Wording	A2	NA	NA	-	d1	维度一待定（register）；学术语境下标记偏离=负向（同组 1 casual 口径） 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
recurring	NA	-	NA	NA	NA	M	-	recurring errors/patterns，层级由宾语决定；构成"错误模式化"框架
easy	NA	-	A1	NA	NA	M	-	easy to follow/read，正向评价；目标态框架风险
society	NA	-	NA	NA	NA	H	-	议题内容残留
form	G2	Grammar	NA	NA	NA	M	-	verb form / the correct form
below	NA	-	NA	NA	NA	M	-	指示元话语（see below）
she	NA	-	NA	NA	NA	M	d1	疑似议题内容残留（引述作文内容），待核 〔concordance回填：维度一=NA；主导判定=NA〕
correct	G2	Correctness	A3	NA	NA	-	act	act 层待定：correct these errors(A3)vs the correct form(NA) 〔concordance回填：act 层=A3；主导判定=A3〕
luck	NA	-	NA	NA	NA	M	-	人际礼貌（good luck）
your	NA	-	NA	NA	NA	M	-	人称代词，无固定层级所指
introduction	G1	Global Structure	NA	NA	NA	H	-	大单位，Global Structure 明示
PHRASE	G2	Wording	NA	NA	NA	H	-	Wording 明示
patterns	G2	Grammar	NA	NA	NA	-	d1	维度一待定：error patterns(G2)vs sentence patterns(G2-Local)vs 论证模式(G1) 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar(38%)〕
briefly	NA	-	NA	M1	NA	-	hedge	hedge 层待定：briefly explain 削减要求强度（M1）vs 单纯方式副词（NA） 〔concordance回填：hedge 层=M1；主导判定=M1(71%)〕
please	NA	-	NA	NA	NA	M	-	礼貌标记；手册 M1 限于 hedges，礼貌标记不入 M1
helps	NA	-	NA	NA	NA	M	-	描述性动词（this helps the reader）
adding	NA	-	A3	NA	NA	H	-	手册 A3 明示（add）
consistency	G2	Grammar	NA	NA	NA	-	d1	维度一待定：consistency of tense(G2)vs of argument(G1) 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar〕
background	G1	Development	NA	NA	NA	-	d1+c	维度三待定：your language background(C1)vs background information(G1-Development) 〔concordance回填：维度一=G1-Development；主导判定=维度一=G1-Development；维度三=NA〕 〔concordance回填：维度三=NA；主导判定=维度一=G1-Development；维度三=NA〕
can	NA	-	NA	NA	NA	-	act+hedge	与 could/might/would 同类共享项：you can add(A3)vs this can be confusing(M1)；两层分别判 〔concordance回填：act 层=NA；主导判定=NA〕 〔concordance回填：hedge 层=NA；主导判定=NA〕
check	G2	Mechanics	A3	NA	NA	-	d1	维度一待定：check your spelling(G2)vs check your logic(G1)；手册 A3 明示 〔concordance回填：维度一=G2-Correctness-Mechanics；主导判定=G2-Correctness-Mechanics〕
students	NA	-	NA	NA	NA	H	-	议题内容残留
balanced	G1	Ideas	A1	NA	NA	M	-	a balanced argument/view，域固定于论断；正向评价
mention	NA	-	NA	NA	NA	-	act	act 层待定：you mention X（描述 NA）vs consider mentioning（A3） 〔concordance回填：act 层=NA；主导判定=NA〕
accuracy	G2	Correctness	NA	NA	NA	H	-	Correctness 明示
subject	G2	Grammar	NA	NA	NA	-	d1	维度一待定：subject-verb agreement(G2-Grammar)vs the subject of your essay(G1) 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar〕
agreement	G2	Grammar	NA	NA	NA	H	-	subject-verb agreement
complex	NA	-	NA	NA	NA	-	d1	维度一待定：complex sentences(G2-Local)vs complex ideas(G1) 〔concordance回填：维度一=NA；主导判定=NA〕
suggested	NA	-	A3	NA	NA	-	act	act 层待定：the suggested revision（NA）vs I suggested（A3） 〔concordance回填：act 层=A3；主导判定=A3〕
long	G2	Local Structure	NA	NA	NA	M	-	long sentences，句级冗长；评价由 too 承担
modern	NA	-	NA	NA	NA	H	-	议题内容残留
meaningful	NA	-	A1	NA	NA	M	-	正向评价；目标态框架风险
i	NA	-	NA	NA	NA	M	-	反馈者自称（I suggest/I noticed）＝人称归因，属手册排除的缓和策略，不入 M1
write	NA	-	A3	NA	NA	-	act	act 层待定：when you write（描述 NA）vs write this as…（A3） 〔concordance回填：act 层=A3；主导判定=A3〕
he	NA	-	NA	NA	NA	M	d1	疑似议题内容残留，待核 〔concordance回填：维度一=NA；主导判定=NA〕
today	NA	-	NA	NA	NA	H	-	议题内容残留
spelling	G2	Mechanics	NA	NA	NA	H	-	Mechanics 明示
only	NA	-	NA	NA	NA	-	hedge	hedge 层待定：最小化降调（only a few errors=M1）vs 限定（NA）；同组 1 just 〔concordance回填：hedge 层=NA；主导判定=NA〕
complete	NA	-	NA	NA	NA	-	d1	维度一待定：complete sentence（句子残缺，G2-Grammar）vs complete your argument(G1) 〔concordance回填：维度一=NA；主导判定=NA〕
slightly	NA	-	NA	M1	NA	H	-	手册 v3 M1 明示 hedge
must	NA	-	A3	NA	NA	H	-	手册 A3 明示
makes	NA	-	NA	NA	NA	M	-	轻动词
possible	NA	-	NA	M1	NA	-	hedge	hedge 层待定：it is possible that（M1）vs possible improvements（NA） 〔concordance回填：hedge 层=M1；主导判定=M1〕
areas	NA	-	NA	NA	NA	M	-	元话语（areas for improvement，反馈小标题）
probably	NA	-	NA	M1	NA	H	-	认识型 hedge，与手册 possibly/maybe 同类
become	NA	-	NA	NA	NA	M	d1	疑似议题内容残留（has become），待核 〔concordance回填：维度一=NA；主导判定=NA〕
natural	NA	-	NA	NA	NA	-	d1+act+c	三层皆待定：sounds natural 是否以母语者语感为隐含标准（C1）；若判 C1 则维度一二依规则归 NA 〔concordance回填：维度一=NA；主导判定=维度一=NA；act=NA；维度三=NA〕 〔concordance回填：act 层=NA；主导判定=维度一=NA；act=NA；维度三=NA〕 〔concordance回填：维度三=NA；主导判定=维度一=NA；act=NA；维度三=NA〕
statement	G1	Ideas	NA	NA	NA	M	-	thesis statement
live	NA	-	NA	NA	NA	H	-	议题内容残留
facts	G1	Development	NA	NA	NA	M	-	facts vs opinion，证据类型
content	G1	Ideas	NA	NA	NA	M	-	内容层，与 organization 对举
common	NA	-	NA	NA	NA	M	-	常见性标记（a common error）＝正常化框架；属手册排除的缓和策略，不入 M1
contain	NA	-	NA	NA	NA	M	-	描述性动词
effective	NA	-	A1	NA	NA	M	-	手册 A1 明示；目标态框架风险
details	G1	Development	NA	NA	NA	H	-	Development 明示
sometimes	NA	-	NA	M1	NA	H	-	手册 v3 M1 明示 hedge
relevant	G1	Development	NA	NA	NA	M	-	relevant evidence/examples
view	G1	Ideas	NA	NA	NA	M	-	your view / opposing views
powerful	NA	-	A1	NA	NA	M	-	手册 A1 明示
restate	G1	Global Structure	A3	NA	NA	M	-	restate your thesis in the conclusion，大单位安排
focus	G1	Ideas	NA	NA	NA	-	d1+act	维度一待定：your focus(G1)vs focus on this sentence(G2)；act 层待定：focus on X(A3)vs 描述(NA) 〔concordance回填：维度一=G1-Ideas；主导判定=维度一=G1-Ideas；act=NA〕 〔concordance回填：act 层=NA；主导判定=维度一=G1-Ideas；act=NA〕
essays	NA	-	NA	NA	NA	M	-	文体指称（academic essays），常见于规范陈述框架
end	G1	Global Structure	NA	NA	NA	M	-	the end of your essay/paragraph
organization	G1	Global Structure	NA	NA	NA	H	-	Global Structure 明示
shorter	G2	Local Structure	NA	NA	NA	M	-	shorter sentences；比较级，评价由框架承担
government	NA	-	NA	NA	NA	H	-	议题内容残留
thinking	G1	Ideas	NA	NA	NA	M	-	your thinking / critical thinking，论述能力
accurate	G1	Ideas	A1	NA	NA	-	d1	维度一待定：accurate facts(G1-Dev)vs accurate grammar(G2)；正向评价 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
her	NA	-	NA	NA	NA	M	d1	疑似议题内容残留，待核 〔concordance回填：维度一=NA；主导判定=NA〕
could	NA	-	A3	M1	NA	-	act+hedge	手册指定共享项，抽 50 行分别判 act 层与 hedge 层 〔concordance回填：act 层=A3；主导判定=act=A3(53%) ; hedge=M1(54%)〕 〔concordance回填：hedge 层=M1；主导判定=act=A3(53%) ; hedge=M1(54%)〕
effort	NA	-	NA	NA	NA	L	act	低信度：归功对象为写作者努力而非文本属性；若与 GOOD/great 共现构成归功则应改判 A1 〔concordance回填：act 层=NA；主导判定=NA〕
women	NA	-	NA	NA	NA	H	-	议题内容残留
reduce	NA	-	A3	NA	NA	-	d1	维度一待定：reduce wordiness(G2)vs reduce scope(G1) 〔concordance回填：维度一=NA；主导判定=NA〕
choose	NA	-	A3	NA	NA	M	-	choose more precise words，层级由宾语决定
difficult	NA	-	A2	NA	NA	M	-	difficult to follow，负向评价
shows	NA	-	NA	NA	NA	M	-	描述性框架动词
proper	G2	Correctness	NA	NA	NA	M	-	proper grammar/punctuation；规范性框架词
unclear	G2	Wording	A2	NA	NA	-	d1	维度一待定（手册 clear 系）；负向评价 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording(29%)〕
emotional	NA	-	NA	NA	NA	-	d1	维度一待定：emotional language(G2-Wording/register)vs emotional appeal(G1-Ideas)；亦可能为议题残留 〔concordance回填：维度一=NA；主导判定=NA〕
especially	NA	-	NA	NA	NA	M	-	焦点副词
neutral	NA	-	NA	NA	NA	-	d1	维度一待定（tone/register）；客观性规范框架词 〔concordance回填：维度一=NA；主导判定=NA〕
discuss	G1	Ideas	NA	NA	NA	-	act	act 层待定：you discuss X（描述 NA）vs discuss counterarguments（A3） 〔concordance回填：act 层=NA；主导判定=NA〕
we	NA	-	NA	NA	NA	M	-	包容性人称，团结策略；不入 M1
