type	d1	d1sub	act	hedge	c	conf	note
rhetorical	PENDING	-	NA	NA	NA	-	维度一待定：rhetorical question（局部修辞手段）vs rhetorical strategy/situation（G1）
very	NA	-	NA	NA	NA	M	强化词，非 hedge
rewrite	PENDING	-	A3	NA	NA	-	维度一待定：rewrite this sentence(G2)vs rewrite this paragraph(G1)；建议动词
register	PENDING	-	NA	NA	NA	-	维度一待定（手册列 register 为 PENDING）；元语言学术语，显性命名语域规范
could	NA	-	PENDING	PENDING	NA	-	手册指定共享项，抽 50 行分别判两层
notes	NA	-	NA	NA	NA	M	元话语（a few notes on…）
question	G1	Ideas	NA	NA	NA	M	the question your essay raises；同组 4 口径
cut	G2	Local Structure	A3	NA	NA	M	删削冗余，句内/句间；同组 1 口径
capitalization	G2	Mechanics	NA	NA	NA	H	Mechanics 明示；德语名词首字母大写为典型迁移项
argumentative	NA	-	NA	NA	NA	M	文体标签（argumentative essay/writing），不指示层级
punctuation	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
new	NA	-	NA	NA	NA	M	a new paragraph / new ideas，层级由宾语决定
would	NA	-	PENDING	PENDING	NA	-	手册指定共享项，抽 50 行分别判两层
academic	PENDING	-	NA	NA	NA	-	维度一待定（register）；同组 2 口径
find	NA	-	NA	NA	NA	M	I find… / readers may find…＝人称归因，属手册排除的缓和策略
always	NA	-	NA	NA	NA	M	最大化副词，非 hedge（区别于手册 often/usually/sometimes）
precise	PENDING	-	NA	NA	NA	-	维度一待定：precise wording(G2)vs precise claims(G1)；同组 1 precision 口径
raise	G1	Ideas	PENDING	NA	NA	-	act 层待定：raises an important question 属开场归功套语(A1)vs 描述(NA)；与组 1 tackles、组 4 raises 并案
above	NA	-	NA	NA	NA	M	指示元话语（see above）
emotionally	PENDING	-	NA	NA	NA	-	维度一待定：emotionally charged language(G2)vs emotional appeal(G1)；同组 4 口径
quite	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
properly	G2	Correctness	NA	NA	NA	M	规范性副词（used properly）；同组 2 proper 口径
place	NA	-	NA	NA	NA	M	in place of / places where，指示元话语
placeholder	G2	Wording	A2	NA	NA	M	placeholder phrases/language，空泛措辞；同组 1 口径
second	NA	-	NA	NA	NA	M	序数词，反馈条目枚举
create	NA	-	PENDING	NA	NA	-	act 层待定：create a clearer transition（A3）vs 描述（NA）；内容动词类
read	NA	-	PENDING	NA	NA	-	act 层待定：read your essay aloud（A3）vs 描述（NA）；内容动词类
used	PENDING	-	NA	NA	NA	-	维度一待定：同 USE/using 口径
