type	d1	d1sub	act	hedge	c	conf	note
good	NA	-	A1	NA	NA	C	act 层待定：评价（A1）vs 目标态框架；同组 2 GOOD 口径〔concordance 判定：act=A1〕
now	NA	-	NA	NA	NA	M	时间/话语副词
clarify	G1	Ideas	A3	NA	NA	C	维度一待定（手册 clear 系）；建议动词〔concordance 判定：d1=G1-Ideas〕
paper	NA	-	NA	NA	NA	H	文本指称语，不指示层级
address	G1	Ideas	A3	NA	NA	C	手册 v3 强制查询清单（G1/A3 争议），不得凭词形归类〔concordance 判定：d1=G1-Ideas，act=A3〕
ideas	G1	Ideas	NA	NA	NA	H	Ideas 明示
areas	NA	-	NA	NA	NA	M	元话语（areas for improvement，反馈小标题）
using	G1	Development	A3	NA	NA	C	维度一与 act 层皆待定；内容动词类〔concordance 判定：d1=G1-Development(26%)，act=A3(26%)〕
conclusion	G1	Global Structure	NA	NA	NA	H	大单位，Global Structure 明示
awkward	G2	Wording	A2	NA	NA	C	维度一待定：awkward phrasing(G2)vs awkward transition(G1)；手册 A2 词族例明列 awkward〔concordance 判定：d1=G2-Wording〕
effects	NA	-	NA	NA	NA	M	疑似议题内容残留（effects of X）vs 对读者的效果，待核
point	G1	Ideas	NA	NA	NA	H	手册 Ideas 词族例明列 point
consider	NA	-	A3	NA	NA	H	手册 A3 明示
fix	G2	Mechanics	A3	NA	NA	C	维度一待定：fix these errors(G2)vs fix the structure(G1)；建议动词〔concordance 判定：d1=G2-Correctness-Mechanics(33%)〕
powerful	NA	-	A1	NA	NA	M	手册 A1 明示；目标态框架风险
shows	NA	-	NA	NA	NA	M	描述性框架动词
clearly	PENDING	-	NA	NA	NA	-	维度一待定（clear 系）；方式副词，act 层不赋值
meaningful	NA	-	A1	NA	NA	M	正向评价；目标态框架风险
right	NA	-	NA	NA	NA	C	维度一待定：the right word(G2)vs right now(NA)；同组 1 口径〔concordance 判定：d1=NA〕
all	NA	-	NA	NA	NA	M	量词
original	NA	-	NA	NA	NA	M	与 revised 配对的"原句/改后句"对照格式，元话语；同组 2
sure	NA	-	A3	NA	NA	M	主导用法为 make sure，手册 A3 明示
story	NA	-	NA	NA	NA	M	疑似议题内容残留，待核
serious	NA	-	NA	NA	NA	M	严重性强化词，极性依宾语（serious errors / no serious issues）
connection	G1	Ideas	NA	NA	NA	M	the connection between your points，论点关联
research	G1	Development	NA	NA	NA	M	来源使用，证据层
comparison	G1	Ideas	NA	NA	NA	M	论证方式
state	NA	-	NA	NA	NA	C	act 层待定：state your thesis clearly（A3）vs 描述；内容动词类〔concordance 判定：act=NA〕
evidence	G1	Development	NA	NA	NA	H	Development 核心
health	NA	-	NA	NA	NA	H	议题内容残留
opposing	G1	Ideas	NA	NA	NA	H	opposing views，反驳层
argument	G1	Ideas	NA	NA	NA	H	Ideas 明示
frequent	NA	-	NA	NA	NA	M	频率标记（frequent errors）；与 recurring/common 同簇
