word	layer	group	target_corpus
strength	act 层	4	Generic
STRENGTHEN	强制查询清单项（本轮已给标签，须复核）	1	L1
strengthen	强制查询清单项（本轮已给标签，须复核）	8	Generic
STRENGTHEN	强制查询清单项（本轮已给标签，须复核）	9	Baseline
strengths	act 层	10	Generic
strong	act 层	2	Generic
strong	act 层	10	Generic
stronger	act 层	8	Generic
strongest	act 层	1	L1
strongest	act 层	4	Generic
strongest	act 层	9	Baseline
would	act 层	1	L1
would	hedge 层	1	L1
would	act 层	6	German
would	hedge 层	6	German
would	act 层	9	Baseline
would	hedge 层	9	Baseline
academic	维度一	2	Generic
academic	维度一	6	German
academic	维度一	7	German
academic	维度一	10	Generic
ARTICLE	维度一	2	Generic
ARTICLE	维度一	3	Chinese
ARTICLE	维度一	6	German
ARTICLE	维度一	7	German
ARTICLE	维度一	10	Generic
clearly	维度一	2	Generic
clearly	维度一	8	Generic
clearly	维度一	10	Generic
clearly	维度一	11	Baseline
final	维度一	2	Generic
final	维度一	4	Generic
final	维度一	10	Generic
paragraph	维度一	10	Generic
paragraph	维度一	12	L1
paragraphs	维度一	3	Chinese
paragraphs	维度一	5	Chinese
personal	维度一	9	Baseline
right	维度一	1	L1
right	维度一	8	Generic
right	维度一	9	Baseline
specific	维度一	5	Chinese
specific	维度一	8	Generic
specific	维度一	9	Baseline
style	维度一	6	German
style	维度一	7	German
topic	维度一	2	Generic
topic	维度一	10	Generic
check	维度一	2	Generic
check	维度一	3	Chinese
check	维度一	7	German
check	维度一	10	Generic
check	维度一	12	L1
create	act 层	6	German
discuss	act 层	2	Generic
discuss	act 层	5	Chinese
discussing	act 层	11	Baseline
double	维度一	7	German
double	act 层	7	German
explain	act 层	5	Chinese
EXPLAIN	act 层	8	Generic
explain	act 层	11	Baseline
focus	维度一	2	Generic
focus	act 层	2	Generic
FOCUS	维度一	8	Generic
FOCUS	act 层	8	Generic
mention	act 层	2	Generic
offer	act 层	9	Baseline
raise	act 层	6	German
raise	act 层	7	German
raises	act 层	4	Generic
read	act 层	6	German
say	act 层	5	Chinese
say	act 层	8	Generic
saying	act 层	9	Baseline
state	act 层	8	Generic
USE	维度一	2	Generic
USE	act 层	2	Generic
use	维度一	10	Generic
use	act 层	10	Generic
used	维度一	6	German
using	维度一	5	Chinese
using	act 层	5	Chinese
using	维度一	8	Generic
using	act 层	8	Generic
vary	维度一	7	German
vary	act 层	7	German
write	act 层	2	Generic
write	act 层	10	Generic
action	议题残留待核	5	Chinese
become	议题残留待核	2	Generic
data	议题残留待核	5	Chinese
data	议题残留待核	8	Generic
dates	议题残留待核	9	Baseline
discussion	子类边界待核	9	Baseline
effects	议题残留待核	5	Chinese
effects	议题残留待核	8	Generic
he	议题残留待核	2	Generic
he	议题残留待核	10	Generic
her	议题残留待核	2	Generic
her	议题残留待核	4	Generic
her	议题残留待核	10	Generic
main	子类边界待核	2	Generic
main	子类边界待核	10	Generic
our	议题残留待核	3	Chinese
people	议题残留待核	2	Generic
people	议题残留待核	10	Generic
power	议题残留待核	1	L1
she	议题残留待核	2	Generic
she	议题残留待核	10	Generic
story	议题残留待核	8	Generic
story	议题残留待核	10	Generic
studies	议题残留待核	9	Baseline
therefore	其他待核	7	German
tool	议题残留待核	5	Chinese
abstract	维度一	1	L1
abstract	维度一	7	German
accurate	维度一	2	Generic
accurate	维度一	11	Baseline
advice	act 层	2	Generic
advice	act 层	10	Generic
aim	act 层	1	L1
aim	act 层	9	Baseline
appropriate	维度一	7	German
ask	维度一	9	Baseline
authority	低信度复核	1	L1
authority	低信度复核	9	Baseline
awkward	维度一	5	Chinese
awkward	维度一	8	Generic
basis	维度一	6	German
basis	维度一	7	German
briefly	hedge 层	2	Generic
briefly	hedge 层	8	Generic
briefly	hedge 层	10	Generic
casual	维度一	1	L1
citation	维度一	10	Generic
citations	维度一	11	Baseline
CLARIFY	维度一	1	L1
clarify	维度一	8	Generic
clarify	维度一	9	Baseline
clarity	维度一	5	Chinese
clarity	维度一	8	Generic
complete	维度一	2	Generic
complex	维度一	2	Generic
confusing	维度一	5	Chinese
confusing	维度一	8	Generic
confusing	维度一	10	Generic
confusion	维度一	7	German
consistency	维度一	2	Generic
consistency	维度一	10	Generic
consistent	维度一	10	Generic
consistent	维度一	12	L1
correct	act 层	2	Generic
correct	act 层	10	Generic
define	维度一	1	L1
define	维度一	9	Baseline
deserves	act 层	9	Baseline
deserves	act 层	11	Baseline
distract	维度一	1	L1
distract	维度一	9	Baseline
early	维度一	9	Baseline
edit	维度一	1	L1
EDIT	维度一	9	Baseline
edit	维度一	12	L1
editing	维度一	11	Baseline
effort	低信度复核	2	Generic
effort	低信度复核	5	Chinese
emotional	维度一	2	Generic
emotional	维度一	10	Generic
emotionally	维度一	4	Generic
emotionally	维度一	6	German
essential	act 层	4	Generic
few	hedge 层	6	German
few	hedge 层	7	German
fine	低信度复核	7	German
fix	维度一	8	Generic
formal	维度一	2	Generic
formal	维度一	10	Generic
important	act 层	2	Generic
important	act 层	10	Generic
imprecise	维度一	1	L1
inaccurate	维度一	3	Chinese
inaccurate	维度一	5	Chinese
inconsistent	维度一	1	L1
inconsistent	维度一	9	Baseline
informal	维度一	2	Generic
informal	维度一	10	Generic
insert	维度一	3	Chinese
just	hedge 层	1	L1
just	hedge 层	3	Chinese
just	hedge 层	9	Baseline
level	维度一	1	L1
level	维度一	5	Chinese
level	维度一	8	Generic
level	维度一	9	Baseline
level	维度一	12	L1
line	维度一	1	L1
line	维度一	9	Baseline
loosely	维度一	1	L1
loosely	维度一	9	Baseline
MEAN	维度一	7	German
meaning	维度一	10	Generic
measured	维度一	1	L1
move	维度一	1	L1
move	act 层	1	L1
move	维度一	9	Baseline
move	act 层	9	Baseline
moves	维度一	4	Generic
narrow	act 层	9	Baseline
neutral	维度一	2	Generic
number	维度一	7	German
only	hedge 层	2	Generic
only	hedge 层	7	German
only	hedge 层	10	Generic
order	维度一	6	German
order	维度一	7	German
PATTERN	维度一	7	German
patterns	维度一	2	Generic
patterns	维度一	3	Chinese
patterns	维度一	6	German
patterns	维度一	10	Generic
polished	维度一	1	L1
possible	hedge 层	2	Generic
possible	hedge 层	10	Generic
precise	维度一	6	German
precision	维度一	1	L1
precision	维度一	7	German
precision	维度一	9	Baseline
rather	hedge 层	1	L1
rather	hedge 层	9	Baseline
reads	维度一	1	L1
reads	维度一	9	Baseline
reduce	维度一	2	Generic
reflection	维度一	9	Baseline
register	维度一	3	Chinese
register	维度一	6	German
register	维度一	7	German
remove	维度一	10	Generic
repeated	维度一	9	Baseline
repeated	维度一	11	Baseline
replace	维度一	1	L1
replace	维度一	9	Baseline
REQUIRE	act 层	6	German
REQUIRE	act 层	7	German
rewrite	维度一	6	German
rhetorical	维度一	6	German
rhetorical	维度一	7	German
sharper	act 层	1	L1
sharper	act 层	9	Baseline
shifts	维度一	1	L1
subject	维度一	2	Generic
subject	维度一	10	Generic
suggested	act 层	2	Generic
suggested	act 层	10	Generic
suggestion	act 层	3	Chinese
suggestion	act 层	5	Chinese
suggestion	act 层	11	Baseline
suggestions	act 层	2	Generic
suggestions	act 层	10	Generic
summary	维度一	5	Chinese
terms	维度一	1	L1
tighten	维度一	1	L1
treatment	维度一	9	Baseline
unclear	维度一	2	Generic
unclear	维度一	10	Generic
understandable	维度一	2	Generic
understandable	维度一	7	German
understandable	维度一	10	Generic
vague	维度一	1	L1
vague	维度一	9	Baseline
vague	维度一	12	L1
weakness	act 层	9	Baseline
worth	act 层	10	Generic
