query_word	match_form	corpus	groups	layers	merge_expanded	doc_id	filename	token_pos	left	node	right
ARTICLE	Article	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	182	is weak because X Article B is weak because Y	Article	C offers the best solution because Z Also reconsider your
ARTICLE	article	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	198	because Z Also reconsider your claim that Applebome Klinghoffer s	article	is biased while Shriver s is not This is a
ARTICLE	articles	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	252	assert bias but your actual complaint is that the Conservative	articles	lack sufficient evidence that s a different and more precise
ARTICLE	article	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	733	careful with verb agreement has caused conflict to arrise and	article	usage the constitutional amendment of church and state should be
ARTICLE	article	Generic	2,10	维度一	YES	86	ICLE-US-MRQ-0017.1	105	in the sections on Klinghoffer Quindlen and the Mississippi Prays	article	their absence makes it impossible to evaluate whether your quotations
ARTICLE	Article	Generic	2,10	维度一	YES	87	ICLE-US-MRQ-0018.1	558	argument depends on clarity of language please proofread carefully for	Article	and preposition errors promote moral values i children in Even
ARTICLE	articles	Generic	2,10	维度一	YES	87	ICLE-US-MRQ-0018.1	734	your own analysis Proofread line by line for grammar especially	articles	verb forms and unclear pronoun references Rewrite the conclusion to
ARTICLE	article	Generic	2,10	维度一	YES	89	ICLE-US-MRQ-0020.1	624	a final pass focusing especially on subject verb agreement and	article	usage a an the which are common trouble spots for
ARTICLE	article	Generic	2,10	维度一	YES	90	ICLE-US-MRQ-0021.1	257	State the actual Johns Hopkins study results Quote Epstein s	article	directly Include the abstinence effectiveness evidence you reference Provide the
ARTICLE	articles	Generic	2,10	维度一	YES	91	ICLE-US-MRQ-0022.1	291	by citing at least concrete sources studies statistics or scholarly	articles	to match the rigor you re demanding from the other
ARTICLE	Article	Generic	2,10	维度一	YES	91	ICLE-US-MRQ-0022.1	327	The concept of God is not discourage should be discouraged	Article	usage the ban of school prayer the ban on school
ARTICLE	article	Generic	2,10	维度一	YES	91	ICLE-US-MRQ-0022.1	680	causal evidence Proofread for grammar especially subject verb agreement and	article	usage Revise the final sentence of the conclusion for grammatical
ARTICLE	article	Generic	2,10	维度一	YES	94	ICLE-US-MRQ-0025.1	184	instance the transition from discussing advertising to discussing Norton s	article	is abrupt Try adding a sentence at the start of
ARTICLE	article	Generic	2,10	维度一	YES	95	ICLE-US-MRQ-0026.1	558	should catch it continues to be an influential factor missing	article	people have learned through war and consequence verb form This
ARTICLE	article	Generic	2,10	维度一	YES	95	ICLE-US-MRQ-0026.1	628	gathered momen tum spacing typo Watch subject verb agreement and	article	usage throughout a an the this is a recurring pattern
ARTICLE	Article	Generic	2,10	维度一	YES	102	ICLE-US-MRQ-0033.1	577	your first language here are some specific issues to address	Article	and pronoun errors there own lives their own lives a
ARTICLE	articles	Generic	2,10	维度一	YES	102	ICLE-US-MRQ-0033.1	766	the autonomy rights argument directly Proofread carefully for grammar especially	articles	pronouns and sentence boundaries Overall Your essay shows real engagement
ARTICLE	article	Generic	2,10	维度一	YES	107	ICLE-US-MRQ-0038.1	570	clarify fail to make any attempt at defining it Watch	article	usage the focal term a firm decision to heed the
ARTICLE	article	Generic	2,10	维度一	YES	107	ICLE-US-MRQ-0038.1	632	Citation Format Right now sources are introduced narratively In his	article	Tom Jambor defines but there s no indication of proper
ARTICLE	article	Generic	2,10	维度一	YES	108	ICLE-US-MRQ-0039.1	24	topic and gathered compelling evidence the Huston study the Berns	article	the Groller survey However the essay s biggest challenge is
ARTICLE	article	Generic	2,10	维度一	YES	108	ICLE-US-MRQ-0039.1	413	You reference several real sources Huston s study Berns s	article	the Groller survey good use of research But integrate citations
ARTICLE	article	Generic	2,10	维度一	YES	109	ICLE-US-MRQ-0040.1	610	question is whether genetic information can be kept private Watch	article	usage throughout a Gregorian monk the field etc generally strong
ARTICLE	article	Generic	2,10	维度一	YES	110	ICLE-US-MRQ-0041.1	223	specific emotional language from the third line of the Newsweek	article	These gaps make it impossible for a reader to judge
ARTICLE	articles	Generic	2,10	维度一	YES	110	ICLE-US-MRQ-0041.1	254	quotation marks Cite page numbers or paragraph locations for both	articles	Introduce quotations with signal phrases eg The authors write rather
ARTICLE	article	Generic	2,10	维度一	YES	110	ICLE-US-MRQ-0041.1	375	assumption about audience becomes even clearer when we examine each	article	s use of physical context The conclusion mostly repeats earlier
ARTICLE	article	Generic	2,10	维度一	YES	110	ICLE-US-MRQ-0041.1	426	audience Analytical Depth You do good work identifying what each	article	does but you could go deeper on why this matters
ARTICLE	Article	Generic	2,10	维度一	YES	110	ICLE-US-MRQ-0041.1	559	verb agreement this make for differences this makes for differences	Article	use It uses its physical context to hook its audience
ARTICLE	article	Generic	2,10	维度一	YES	110	ICLE-US-MRQ-0041.1	724	between paragraphs make transitions substantive Proofread for possessives prepositions and	article	usage Strengthen the conclusion with a broader insight about media
ARTICLE	articles	Generic	2,10	维度一	YES	111	ICLE-US-MRQ-0042	638	case The proponents case missing possessive apostrophe Watch for missing	articles	a and the in several places which is common when
ARTICLE	articles	Generic	2,10	维度一	YES	111	ICLE-US-MRQ-0042	656	is common when translating from languages that don t use	articles	the same way English does I d recommend reading your
ARTICLE	articles	Generic	2,10	维度一	YES	111	ICLE-US-MRQ-0042	798	it Add transitions connecting examples within paragraphs Proofread for grammar	articles	verb forms possessives Revise the conclusion to affirm your argument
ARTICLE	Article	Generic	2,10	维度一	YES	113	ICLE-US-MRQ-0044.1	528	but a few recurring issues should be corrected in revision	Article	preposition errors ensure and honest academic environment ensure an honest
ARTICLE	articles	Generic	2,10	维度一	YES	113	ICLE-US-MRQ-0044.1	704	Add clear topic sentences to each paragraph Correct grammar issues	articles	verb forms fragments Sharpen the conclusion with a concrete recommendation
ARTICLE	articles	Generic	2,10	维度一	YES	114	ICLE-US-MRQ-0045.1	289	and cited author publication date Citation Practices You refer to	articles	by title Detectives in Simpson Case Defend Search Judge Rejects
ARTICLE	article	Generic	2,10	维度一	YES	114	ICLE-US-MRQ-0045.1	377	it should be Los Angeles Capitalization is inconsistent eg one	article	quotes Judge Ito should begin with a capital O Watch
ARTICLE	Article	Generic	2,10	维度一	YES	116	ICLE-US-PRB-0034.2	119	concerning our young people is Check every sentence for agreement	Article	possessive errors its a very sensitive it s contraction vs
ARTICLE	articles	Generic	2,10	维度一	YES	122	ICLE-US-SCU-0001.1	683	s writing center for a line edit pass focused on	articles	subject verb agreement and word choice Tone Your tone is
ARTICLE	Article	Generic	2,10	维度一	YES	124	ICLE-US-SCU-0001.3	634	sex cut down on having sex contacted contracted regarding disease	Article	and preposition usage eg far to many far too many
ARTICLE	article	Generic	2,10	维度一	YES	127	ICLE-US-SCU-0002.2	510	documents directly Even one or two outside sources a news	article	about dorm policy debates or your university s official policy
ARTICLE	article	Generic	2,10	维度一	YES	130	ICLE-US-SCU-0003.2	700	combine these into one sentence Watch subject verb agreement and	article	usage common areas of difficulty for non native English writers
ARTICLE	Article	Generic	2,10	维度一	YES	137	ICLE-US-SCU-0005.1	604	or signs more broadly though semiotics can work if defined	Article	and preposition use gender relazed adulthood and starting girls into
ARTICLE	article	Generic	2,10	维度一	YES	146	ICLE-US-SCU-0007.3	646	missing an opening quotation mark Check subject verb agreement and	article	usage throughout eg Television programming in the United States is
ARTICLE	Article	Generic	2,10	维度一	YES	151	ICLE-US-SCU-0009.2	458	a second language here are some patterns to watch for	Article	usage Sex Is used to do everything check capitalization and
ARTICLE	article	Generic	2,10	维度一	YES	151	ICLE-US-SCU-0009.2	469	usage Sex Is used to do everything check capitalization and	article	use throughout eg the media vs media Verb tense agreement
ARTICLE	article	Generic	2,10	维度一	YES	157	ICLE-US-SCU-0011.2	628	quotation marks and a citation Watch subject verb agreement and	article	usage throughout eg the fact that the drug users would
ARTICLE	articles	Generic	2,10	维度一	YES	171	ICLE-US-SCU-0016.4	499	next draft try to find at least credible sources news	articles	legal studies government reports to support your key claims This
ARTICLE	Articles	Generic	2,10	维度一	YES	176	ICLE-US-IND-0003.1	514	employers or the government Remove the extra space before involving	Articles	and phrasing the child care worker may reasonably be judged
ARTICLE	articles	Generic	2,10	维度一	YES	177	ICLE-US-IND-0004.1	565	write in advanced English but there are several errors in	articles	word choice and sentence construction Some important corrections equated with
ARTICLE	article	Generic	2,10	维度一	YES	177	ICLE-US-IND-0004.1	729	or outdated expressions with more academic language Proofread carefully for	article	errors typing mistakes and unclear phrases Final comment This essay
ARTICLE	article	Generic	2,10	维度一	YES	180	ICLE-US-IND-0007.1	453	does better than the legitimate businessman Also be careful with	article	use and parallel structure Avoid overgeneralization Some statements are too
ARTICLE	Article	Generic	2,10	维度一	YES	188	ICLE-US-IND-0015.1	464	formal writing Truth is possible but message sounds smoother here	Article	and word form errors Current The key is in the
ARTICLE	Articles	Generic	2,10	维度一	YES	192	ICLE-US-IND-0019.1	400	from told be told me one women one woman b	Articles	and possessives my husbands firearms my husband s firearms call
ARTICLE	article	Generic	2,10	维度一	YES	202	ICLE-US-MICH-0002.1	480	sure no errors have been made Also pay attention to	article	use and plural forms For example knowledge of how the
ARTICLE	article	Generic	2,10	维度一	YES	203	ICLE-US-MICH-0003.1	406	effectively in some situations Also check subject verb agreement and	article	use For example It is a common fact machines do
ARTICLE	articles	Generic	2,10	维度一	YES	207	ICLE-US-MICH-0007.1	612	about computers being useful Correct grammar and word choice especially	articles	verb forms and punctuation Add one sentence about the drawbacks
ARTICLE	article	Generic	2,10	维度一	YES	209	ICLE-US-MICH-0009.1	460	flight from the inner cities upperclass upper class Also watch	article	use plural forms and sentence boundaries Correct awkward or unclear
ARTICLE	Article	Generic	2,10	维度一	YES	210	ICLE-US-MICH-0010.1	519	integrity dificulties difficulties has becomed has become Grammar style points	Article	use by newspaper usually by newspapers or by the newspaper
ARTICLE	article	Generic	2,10	维度一	YES	216	ICLE-US-MICH-0016.1	684	Check grammar carefully especially there their singular plural verbs spelling	article	use Edit punctuation and sentence structure to avoid long unclear
ARTICLE	article	Generic	2,10	维度一	YES	218	ICLE-US-MICH-0018.1	218	argumentative essay a more formal style is usually stronger Grammar	article	use and word choice There are several small language errors
ARTICLE	articles	Generic	2,10	维度一	YES	218	ICLE-US-MICH-0018.1	239	Here are the most important ones a Singular plural and	articles	Anything can be put in zip lock bag Anything can
ARTICLE	Article	Generic	2,10	维度一	YES	226	ICLE-US-MICH-0026.1	426	has been many inventions There have been many inventions B	Article	use with the use of Modem with the use of
ARTICLE	article	Generic	2,10	维度一	YES	226	ICLE-US-MICH-0026.1	700	Shorten long sentences and improve clarity Correct grammar spelling and	article	errors Strengthen the conclusion by restating the main argument more
ARTICLE	article	Generic	2,10	维度一	YES	227	ICLE-US-MICH-0027.1	720	democracy if we all share one bond democracy Also watch	article	use and word choice For example could follow its happening
ARTICLE	articles	Generic	2,10	维度一	YES	229	ICLE-US-MICH-0031.1	418	sentence structure There are several grammar issues especially with tense	articles	capitalization and awkward phrasing a Verb tense Because you are
ARTICLE	articles	Generic	2,10	维度一	YES	231	ICLE-US-MICH-0033.1	471	Pay special attention to verb tense consistency subject verb agreement	articles	a an the plural forms word choice punctuation Specific language
ARTICLE	article	Generic	2,10	维度一	YES	237	ICLE-US-MICH-0039.1	388	phrase is unclear perhaps complex graphs B Grammar Watch for	article	use word form and sentence structure Examples The advancement of
ARTICLE	Article	Generic	2,10	维度一	YES	238	ICLE-US-MICH-0040.1	628	or third hand accounts is correct well developed is correct	Article	use sometimes you need the or a for smoother grammar
ARTICLE	articles	Generic	2,10	维度一	YES	245	ICLE-US-MRQ-0002.1	396	or should not be allowed Use of evidence You mention	articles	such as The Last Goodbye and Prolifers Say Cruzan Death
ARTICLE	article	Generic	2,10	维度一	YES	245	ICLE-US-MRQ-0002.1	452	analysis not just summary For example instead of saying an	article	is melancholy explain what argument it makes and why that
ARTICLE	Articles	Generic	2,10	维度一	YES	245	ICLE-US-MRQ-0002.1	532	problems that make meaning unclear Focus especially on these a	Articles	an complex issue a complex issue the patients personal decision
ARTICLE	article	Generic	2,10	维度一	YES	255	ICLE-US-MRQ-0012.1	626	increases the availability of serotonin between nerve cells Also check	article	use verb tense and awkward phrasing throughout Paragraph level suggestions
ARTICLE	articles	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	33	reader follow your ideas You also attempt to compare two	articles	and explain why one is more convincing than the other
ARTICLE	article	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	70	Strengths Clear thesis position You clearly argue that Pattullo s	article	is more persuasive than Wall s Organized structure Your essay
ARTICLE	articles	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	488	will change the reader s mind James M Wall s	articles	does not give Better James M Wall s article does
ARTICLE	article	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	497	s articles does not give Better James M Wall s	article	does not give share a barrack Better share a barracks
ARTICLE	article	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	579	have had an effect Also watch for subject verb agreement	article	does not article do word choice effect vs affect article
ARTICLE	article	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	582	effect Also watch for subject verb agreement article does not	article	do word choice effect vs affect article use the military
ARTICLE	article	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	589	article does not article do word choice effect vs affect	article	use the military a ban the company awkward phrasing Introduction
ARTICLE	article	Generic	2,10	维度一	YES	256	ICLE-US-MRQ-0013.1	687	restates your view but the sentence Before reading Pattullo s	article	is confusing and seems to contradict your earlier position If
ARTICLE	articles	Generic	2,10	维度一	YES	258	ICLE-US-MRQ-0015.1	210	to do Insert the real quotations or paraphrases from the	articles	After each quote explain exactly how it supports your point
ARTICLE	article	Generic	2,10	维度一	YES	258	ICLE-US-MRQ-0015.1	340	the argument you are evaluating Evidence quote or paraphrase the	article	Analysis explain why the reasoning is strong or weak Conclusion
ARTICLE	article	Generic	2,10	维度一	YES	258	ICLE-US-MRQ-0015.1	408	emotional appeal than on constitutional evidence Instead of less factual	article	say less convincing because it does not provide evidence linking
ARTICLE	article	Generic	2,10	维度一	YES	259	ICLE-US-MRQ-0016.1	614	Also review comma use after introductory phrases subject verb agreement	article	use a an the sentence clarity Suggestions for stronger revision
ARTICLE	articles	Generic	2,10	维度一	YES	263	ICLE-US-MRQ-0020.1	557	needs to be rewritten completely for clarity C Agreement and	articles	Watch singular plural and article use women s championship competition
ARTICLE	article	Generic	2,10	维度一	YES	263	ICLE-US-MRQ-0020.1	562	for clarity C Agreement and articles Watch singular plural and	article	use women s championship competition awkward perhaps women s championship
ARTICLE	article	Generic	2,10	维度一	YES	264	ICLE-US-MRQ-0021.1	633	refutals of arguments the refutations of these arguments Also watch	article	use a the plural forms and prepositions Suggestions for revision
ARTICLE	Articles	Generic	2,10	维度一	YES	265	ICLE-US-MRQ-0022.1	531	problems A Subject verb agreement prayer lead prayer leads B	Articles	and prepositions in public school in public schools allow for
ARTICLE	Articles	Generic	2,10	维度一	YES	269	ICLE-US-MRQ-0026.1	626	essay less polished Here are some important patterns to fix	Articles	and word forms influential factor an influential factor ha become
ARTICLE	Article	Generic	2,10	维度一	YES	270	ICLE-US-MRQ-0027.1	528	facing execution put into effect could be simpler carried out	Article	use and prepositions As a non native writer pay special
ARTICLE	articles	Generic	2,10	维度一	YES	270	ICLE-US-MRQ-0027.1	541	prepositions As a non native writer pay special attention to	articles	the media should have access to report on executions is
ARTICLE	articles	Generic	2,10	维度一	YES	270	ICLE-US-MRQ-0027.1	719	the First Amendment and court rulings Edit grammar carefully especially	articles	verb tense and plural forms Rewrite the conclusion in a
ARTICLE	article	Generic	2,10	维度一	YES	275	ICLE-US-MRQ-0032.1	284	and what exactly did he argue What does the Newsweek	article	say about Baby Jessica What did Mark Hansen write in
ARTICLE	Article	Generic	2,10	维度一	YES	278	ICLE-US-MRQ-0035.1	676	choice more ninety eight percent more than ninety eight percent	Article	use the right word a complex problem an associate professor
ARTICLE	article	Generic	2,10	维度一	YES	280	ICLE-US-MRQ-0037.1	560	doctors stands a doctor stands or doctors stand Agreement and	article	use a doctors stands for what a doctor stands for
ARTICLE	article	Generic	2,10	维度一	YES	283	ICLE-US-MRQ-0040.1	560	sentence issues There are many sentence level errors especially with	article	use verb forms word choice pronouns sentence clarity Examples of
ARTICLE	articles	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	97	audiences Good comparative focus You do not simply summarize the	articles	you try to compare them This is important in analytical
ARTICLE	articles	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	246	specific and easier to support Use stronger evidence from the	articles	A major weakness is that some claims are too general
ARTICLE	article	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	383	should sound careful and precise Try using phrases like The	article	appears to assume This strategy may appeal to readers who
ARTICLE	articles	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	449	appeal Then in each paragraph Topic sentence Evidence from both	articles	Analysis of why the difference matters Strengthen the analysis Sometimes
ARTICLE	articles	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	593	this makes for differences hook it audience hook its audience	articles	initial appeal article s initial appeal premade assumptions preconceived assumptions
ARTICLE	article	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	596	differences hook it audience hook its audience articles initial appeal	article	s initial appeal premade assumptions preconceived assumptions or assumptions those
ARTICLE	articles	Generic	2,10	维度一	YES	284	ICLE-US-MRQ-0041.1	739	is specific and arguable Add direct textual evidence from both	articles	Remove unsupported generalizations and biased judgments Make each paragraph center
ARTICLE	Article	Generic	2,10	维度一	YES	285	ICLE-US-MRQ-0042	513	their opponents misinformation their opponents misinformation Word form prevelant prevalent	Article	use and countable nouns birthcontrol pills birth control pills Awkward
ARTICLE	article	Generic	2,10	维度一	YES	286	ICLE-US-MRQ-0043.1	652	parents negatively Grammar and mechanics Watch for subject verb agreement	article	use the courts a moral right punctuation around quotations consistency
ARTICLE	Articles	Generic	2,10	维度一	YES	287	ICLE-US-MRQ-0044.1	503	the range of punishments are the range of punishments is	Articles	presented to the school s honor code introduced to the
ARTICLE	article	Generic	2,10	维度一	YES	288	ICLE-US-MRQ-0045.1	375	reader to evaluate your points If you refer to an	article	or testimony include the exact quotation or paraphrase it clearly
ARTICLE	articles	Generic	2,10	维度一	YES	288	ICLE-US-MRQ-0045.1	394	it clearly and cite it properly Also when you mention	articles	be consistent in identifying them and explaining their relevance Right
ARTICLE	article	Generic	2,10	维度一	YES	289	ICLE-US-MRQ-0046	453	formal phrasing Rauscher does not consider the possibility that The	article	does not establish Parks and Weiss s expertise It is
ARTICLE	Article	Generic	2,10	维度一	YES	293	ICLE-US-PRB-0037.2	567	problem Wrong word forms effected affected mayor cause major cause	Article	use awkward phrases A percentage of the population of the
ARTICLE	Article	Generic	2,10	维度一	YES	294	ICLE-US-PRB-0038.2	575	Spencer if Word choice abolishment is less natural than abolition	Article	use check the a and an Parallel structure keep similar
ARTICLE	Articles	Generic	2,10	维度一	YES	295	ICLE-US-PRB-0039.2	597	forward divorce Better As a couple moves toward divorce c	Articles	and prepositions in the medieval society in medieval society created
ARTICLE	article	Generic	2,10	维度一	YES	300	ICLE-US-SCU-0002.1	713	and quotation marks Avoid comma splices and make sure book	article	titles are formatted consistently Conclusion Your conclusion has a strong
ARTICLE	Articles	Generic	2,10	维度一	YES	302	ICLE-US-SCU-0002.3	450	writers could not rank Florida State ahead of Alabama C	Articles	prepositions and plurals These are common issues for non native
ARTICLE	Articles	Generic	2,10	维度一	YES	304	ICLE-US-SCU-0003.2	684	You repeat Her boyfriend dumped her twice very close together	Articles	and phrasing At the age of fifteen years old At
ARTICLE	articles	Generic	2,10	维度一	YES	305	ICLE-US-SCU-0003.3	445	and rely on credible sources such as government reports academic	articles	public health research Also do not simply place a source
ARTICLE	Articles	Generic	2,10	维度一	YES	305	ICLE-US-SCU-0003.3	519	old s year olds Is probably olds or adults B	Articles	and plurals in high school and college environment in high
ARTICLE	Article	Generic	2,10	维度一	YES	306	ICLE-US-SCU-0003.4	616	topic Add a space and separate the ideas more clearly	Article	and word choice It is skill that could save their
ARTICLE	Articles	Generic	2,10	维度一	YES	321	ICLE-US-SCU-0007.4	491	clear but there are recurring grammar and style problems A	Articles	and word form which should keep which should be kept
ARTICLE	Articles	Generic	2,10	维度一	YES	327	ICLE-US-SCU-009.4	568	or well supported woman women typo should be women C	Articles	plurals and possessives Examples this categories these categories its hard
ARTICLE	Articles	Generic	2,10	维度一	YES	328	ICLE-US-SCU-0010.2	571	to explain its up to it is up to B	Articles	and plurals a man and a women a man and
ARTICLE	Articles	Generic	2,10	维度一	YES	329	ICLE-US-SCU-0010.3	597	This includes but is not limited to plastic bags E	Articles	and prepositions categorized in rechargeable and non rechargeable categorized as
ARTICLE	Article	Generic	2,10	维度一	YES	331	ICLE-US-SCU-0011.2	488	they have come to reality and decided that drug prohibition	Article	preposition use effects drug laws are having on the society
